f (mm/min),d (µm),US vibration,C. Fluid,Fz mean (N),Ra mean (µm)
10,20,Off,Off,1.8460,1.8136
10,40,Off,Off,2.8410,1.5896
10,60,Off,Off,2.9837,1.5391
10,80,Off,Off,2.9863,1.1962
10,100,Off,Off,2.6037,1.1623
30,20,Off,Off,1.9017,1.8308
30,40,Off,Off,2.6163,1.4323
30,60,Off,Off,2.1373,1.2348
30,80,Off,Off,3.6920,1.8153
30,100,Off,Off,3.4483,2.2544
55,20,Off,Off,2.9000,1.6628
55,40,Off,Off,4.6687,1.1580
55,60,Off,Off,5.3985,1.7276
55,80,Off,Off,5.1263,1.3431
55,100,Off,Off,5.6943,1.5511
80,20,Off,Off,2.8883,2.1923
80,40,Off,Off,5.2770,2.3010
80,60,Off,Off,7.0610,2.5165
80,80,Off,Off,5.6670,2.1009
80,100,Off,Off,5.8517,1.9619
100,20,Off,Off,5.1747,2.3612
100,40,Off,Off,4.2903,1.8814
100,60,Off,Off,5.2840,2.0392
100,80,Off,Off,6.1440,2.0319
100,100,Off,Off,8.4253,1.7885
10,20,On,Off,1.7723,1.5259
10,40,On,Off,1.8833,1.6280
10,60,On,Off,2.4017,1.8073
10,80,On,Off,2.5980,0.9795
10,100,On,Off,1.8597,1.1348
30,20,On,Off,3.1917,1.2252
30,40,On,Off,1.8687,1.9928
30,60,On,Off,2.5140,1.2177
30,80,On,Off,1.7070,1.4815
30,100,On,Off,2.8853,1.6452
55,20,On,Off,2.7023,1.1638
55,40,On,Off,2.6257,1.5263
55,60,On,Off,2.8617,1.5896
55,80,On,Off,3.3913,1.7340
55,100,On,Off,3.7250,1.6516
80,20,On,Off,1.3537,1.7944
80,40,On,Off,2.4263,1.7560
80,60,On,Off,2.4913,2.0315
80,80,On,Off,3.6863,1.6498
80,100,On,Off,3.0760,2.2308
100,20,On,Off,1.7205,1.5530
100,40,On,Off,2.6847,1.5168
100,60,On,Off,2.5773,1.7862
100,80,On,Off,3.5350,1.6921
100,100,On,Off,7.2760,2.1951
10,20,Off,On,14.3700,0.6344
10,40,Off,On,16.5233,0.8104
10,60,Off,On,9.4877,0.7996
10,80,Off,On,7.3373,0.7365
10,100,Off,On,13.1697,0.7795
30,20,Off,On,13.0733,0.9421
30,40,Off,On,11.8700,0.8445
30,60,Off,On,8.8580,1.0555
30,80,Off,On,10.8380,1.0480
30,100,Off,On,12.5333,0.7782
55,20,Off,On,15.8800,1.1004
55,40,Off,On,10.7450,1.1957
55,60,Off,On,8.9840,1.1213
55,80,Off,On,8.9907,1.1516
55,100,Off,On,10.1947,1.1160
80,20,Off,On,8.7207,1.0498
80,40,Off,On,11.0633,1.1335
80,60,Off,On,3.6900,1.2409
80,80,Off,On,9.1333,1.1885
80,100,Off,On,10.0333,1.0172
100,20,Off,On,9.5483,1.1199
100,40,Off,On,8.6397,1.2662
100,60,Off,On,9.3323,1.4292
100,80,Off,On,6.4967,1.3164
100,100,Off,On,11.1707,1.3326
10,20,On,On,12.9827,1.0229
10,40,On,On,17.7800,0.9142
10,60,On,On,13.2867,1.0496
10,80,On,On,9.9070,1.0169
10,100,On,On,6.8677,0.9964
30,20,On,On,11.2687,1.0973
30,40,On,On,10.5607,1.1127
30,60,On,On,7.9180,1.5902
30,80,On,On,15.6667,1.4840
30,100,On,On,11.4083,1.0695
55,20,On,On,8.9353,1.6611
55,40,On,On,10.9100,1.9984
55,60,On,On,9.3227,1.5864
55,80,On,On,10.6250,1.0429
55,100,On,On,11.4687,1.6041
80,20,On,On,8.9977,1.3649
80,40,On,On,12.4053,1.2295
80,60,On,On,12.3347,1.5558
80,80,On,On,7.5137,1.3601
80,100,On,On,7.8317,1.1568
100,20,On,On,6.4340,2.1815
100,40,On,On,9.8447,1.9804
100,60,On,On,9.0963,1.4831
100,80,On,On,7.4290,1.3553
100,100,On,On,9.8120,1.3244
